family,age,sex,survived,death,full_name
Keseberg,3,Female,0,1847-02-25T00:00:00Z,"Keseberg, Ada"
Keseberg,32,Male,1,NA,"Keseberg, Lewis"
Keseberg,1,Male,0,1847-01-24T00:00:00Z,"Keseberg, Lewis Jr."
Keseberg,32,Female,1,NA,"Keseberg, Phillipine"
Reed,70,Female,0,1846-05-29T00:00:00Z,"Keyes, Sarah"
Other,27,Male,0,1847-01-18T00:00:00Z,Luis
McCutchen,24,Female,1,NA,"McCutchen, Almanda"
McCutchen,30,Male,1,NA,"McCutchen, William"
McCutchen,1,Female,0,1847-02-02T00:00:00Z,"McCutchen, Harriet"
Other,30,Male,1,NA,"Miller, Hiram O."
MurFosPik,15,Male,0,1847-01-31T00:00:00Z,"Murphy, John Landrum"
MurFosPik,36,Female,0,1847-03-12T00:00:00Z,"Murphy, Lavina"
MurFosPik,12,Male,0,1846-12-27T00:00:00Z,"Murphy, Lemuel"
MurFosPik,14,Female,1,NA,"Murphy, Mary M."
MurFosPik,8,Male,1,NA,"Murphy, Simon Peter"
MurFosPik,1,Female,0,1847-02-20T00:00:00Z,"Pike, Catherine"
MurFosPik,21,Female,1,NA,"Pike, Harriet"
MurFosPik,2,Female,1,NA,"Pike, Naomi"
MurFosPik,25,Male,0,1846-10-20T00:00:00Z,"Pike, William"
Reed,46,Male,1,NA,"Reed, James"
Reed,6,Male,1,NA,"Reed, James Jr."
Reed,32,Female,1,NA,"Reed, Margaret"
Reed,9,Female,1,NA,"Reed, Martha Jane"
Reed,4,Male,1,NA,"Reed, Thomas Keyes"
Reed,13,Female,1,NA,"Reed, Virginia E."
Other,30,Male,0,1846-12-21T00:00:00Z,"Reinhardt, Joseph"
Other,23,Male,0,1847-01-18T00:00:00Z,Salvador
Other,25,Male,0,1846-12-21T00:00:00Z,"Shoemaker, Samuel"
Other,25,Male,0,1846-12-21T00:00:00Z,"Smith, James"
Other,25,Male,0,1846-10-05T00:00:00Z,"Snyder, John"
Other,30,Male,0,1847-02-08T00:00:00Z,"Spitzer, Augustus"
Other,35,Male,0,1846-12-23T00:00:00Z,"Stanton, Charles"
Other,23,Male,1,NA,"Trubode, Jean B."
Other,24,Male,0,1846-12-15T00:00:00Z,"Williams, Baylis"
Other,25,Female,1,NA,"Williams, Eliza"
FosdWolf,20,Female,1,NA,"Wolfinger, Doris"
FosdWolf,24,Male,0,1846-10-08T00:00:00Z,"Wolfinger, Mr."
